YearEnd,COUNT(LocationDesc),LocationDesc,Question,AVG(DataValue),StratificationCategory1,Stratification1
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.1,Gender,Female
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.6,Race/Ethnicity,Hispanic
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30,Gender,Male
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.45,Race/Ethnicity,Multiracial
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.6,Race/Ethnicity,Other
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.95,Overall,Overall
2015,2,Arkansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.3,Race/Ethnicity,Caucasian
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.65,Race/Ethnicity,African American
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.35,Gender,Female
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.75,Race/Ethnicity,Hispanic
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.9,Gender,Male
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.9,Race/Ethnicity,Multiracial
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.3,Race/Ethnicity,Other
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.1,Overall,Overall
2015,2,California,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.95,Race/Ethnicity,Caucasian
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.25,Race/Ethnicity,African American
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,38.55,Gender,Female
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.3,Race/Ethnicity,Hispanic
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.05,Gender,Male
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.7,Race/Ethnicity,Multiracial
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,38.5,Race/Ethnicity,Other
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,38.8,Overall,Overall
2015,2,Colorado,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,40.6,Race/Ethnicity,Caucasian
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.45,Race/Ethnicity,African American
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.95,Gender,Female
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.6,Race/Ethnicity,Hispanic
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.55,Gender,Male
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.7,Race/Ethnicity,Multiracial
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.5,Race/Ethnicity,Other
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.15,Overall,Overall
2015,2,Connecticut,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.05,Race/Ethnicity,Caucasian
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.6,Race/Ethnicity,African American
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.1,Gender,Female
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.25,Race/Ethnicity,Hispanic
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.05,Gender,Male
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Multiracial
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.85,Race/Ethnicity,Other
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.85,Overall,Overall
2015,2,Delaware,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.2,Race/Ethnicity,Caucasian
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.55,Race/Ethnicity,African American
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.7,Gender,Female
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,42.3,Race/Ethnicity,Hispanic
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.65,Gender,Male
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,44.1,Race/Ethnicity,Multiracial
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.25,Race/Ethnicity,Other
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.1,Overall,Overall
2015,2,District of Columbia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,41.25,Race/Ethnicity,Caucasian
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.6,Race/Ethnicity,African American
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.35,Gender,Female
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.25,Race/Ethnicity,Hispanic
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.25,Gender,Male
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,44.65,Race/Ethnicity,Multiracial
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,37.05,Race/Ethnicity,Other
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.3,Overall,Overall
2015,2,Florida,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.4,Race/Ethnicity,Caucasian
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.45,Race/Ethnicity,African American
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.55,Gender,Female
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.35,Race/Ethnicity,Hispanic
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.9,Gender,Male
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.1,Race/Ethnicity,Multiracial
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.1,Race/Ethnicity,Other
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.55,Overall,Overall
2015,2,Georgia,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.8,Race/Ethnicity,Caucasian
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,African American
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.5,Gender,Female
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,40.45,Race/Ethnicity,Hispanic
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.15,Gender,Male
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.9,Race/Ethnicity,Multiracial
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.45,Race/Ethnicity,Other
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.85,Overall,Overall
2015,2,Guam,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.05,Race/Ethnicity,Caucasian
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,African American
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.5,Gender,Female
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,41.65,Race/Ethnicity,Hispanic
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,38.6,Gender,Male
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.05,Race/Ethnicity,Multiracial
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.7,Race/Ethnicity,Other
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.55,Overall,Overall
2015,2,Hawaii,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,43.2,Race/Ethnicity,Caucasian
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,African American
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34,Gender,Female
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.55,Race/Ethnicity,Hispanic
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.45,Gender,Male
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.7,Race/Ethnicity,Multiracial
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33,Race/Ethnicity,Other
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.25,Overall,Overall
2015,2,Idaho,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.95,Race/Ethnicity,Caucasian
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.15,Race/Ethnicity,African American
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.05,Gender,Female
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.15,Race/Ethnicity,Hispanic
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.25,Gender,Male
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.7,Race/Ethnicity,Multiracial
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.95,Race/Ethnicity,Other
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.6,Overall,Overall
2015,2,Illinois,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.7,Race/Ethnicity,Caucasian
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.25,Race/Ethnicity,African American
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.05,Gender,Female
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,17.45,Race/Ethnicity,Hispanic
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.95,Gender,Male
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.45,Race/Ethnicity,Multiracial
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.5,Race/Ethnicity,Other
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.95,Overall,Overall
2015,2,Indiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.5,Race/Ethnicity,Caucasian
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.25,Race/Ethnicity,African American
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.7,Gender,Female
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,20.9,Race/Ethnicity,Hispanic
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.15,Gender,Male
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Multiracial
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,18.1,Race/Ethnicity,Other
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.35,Overall,Overall
2015,2,Iowa,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.75,Race/Ethnicity,Caucasian
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.45,Race/Ethnicity,African American
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.25,Gender,Female
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.75,Race/Ethnicity,Hispanic
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.55,Gender,Male
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.1,Race/Ethnicity,Multiracial
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.65,Race/Ethnicity,Other
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.9,Overall,Overall
2015,2,Kansas,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.9,Race/Ethnicity,Caucasian
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.15,Race/Ethnicity,African American
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,26.15,Gender,Female
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Hispanic
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.05,Gender,Male
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.3,Race/Ethnicity,Multiracial
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,48,Race/Ethnicity,Other
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.55,Overall,Overall
2015,2,Kentucky,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.05,Race/Ethnicity,Caucasian
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.65,Race/Ethnicity,African American
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.9,Gender,Female
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.9,Race/Ethnicity,Hispanic
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.35,Gender,Male
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.5,Race/Ethnicity,Multiracial
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.7,Race/Ethnicity,Other
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.1,Overall,Overall
2015,2,Louisiana,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.6,Race/Ethnicity,Caucasian
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,African American
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.55,Gender,Female
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.25,Race/Ethnicity,Hispanic
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,36.2,Gender,Male
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,41.35,Race/Ethnicity,Multiracial
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,40.15,Race/Ethnicity,Other
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.35,Overall,Overall
2015,2,Maine,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,35.5,Race/Ethnicity,Caucasian
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.9,Race/Ethnicity,African American
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.25,Gender,Female
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,19.25,Race/Ethnicity,Hispanic
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.6,Gender,Male
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.05,Race/Ethnicity,Multiracial
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.2,Race/Ethnicity,Other
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.85,Overall,Overall
2015,2,Maryland,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.3,Race/Ethnicity,Caucasian
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.85,Race/Ethnicity,African American
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.6,Gender,Female
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.3,Race/Ethnicity,Hispanic
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.6,Gender,Male
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.35,Race/Ethnicity,Multiracial
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,22.3,Race/Ethnicity,Other
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.9,Overall,Overall
2015,2,Massachusetts,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.4,Race/Ethnicity,Caucasian
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.05,Race/Ethnicity,African American
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.35,Gender,Female
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,24.55,Race/Ethnicity,Hispanic
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.9,Gender,Male
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,39.15,Race/Ethnicity,Multiracial
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.25,Race/Ethnicity,Other
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.1,Overall,Overall
2015,2,Michigan,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.2,Race/Ethnicity,Caucasian
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30,Race/Ethnicity,African American
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.55,Gender,Female
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,27.5,Race/Ethnicity,Hispanic
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.35,Gender,Male
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32.35,Race/Ethnicity,Multiracial
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,28.2,Race/Ethnicity,Other
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.45,Overall,Overall
2015,2,Minnesota,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.15,Race/Ethnicity,Caucasian
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.25,Race/Ethnicity,African American
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,20.45,Gender,Female
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Hispanic
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,23.5,Gender,Male
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Multiracial
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,0,Race/Ethnicity,Other
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.85,Overall,Overall
2015,2,Mississippi,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,21.65,Race/Ethnicity,Caucasian
2015,2,Missouri,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,25.5,Race/Ethnicity,African American
2015,2,Missouri,Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.3,Gender,Female
